dish_id,n5k_class,total_mass_g,total_kcal,total_fat_g,total_carb_g,total_protein_g
dish_1562875159,pizza,98.0,260.68,9.51,32.34,10.78
dish_1560798656,cheese pizza,108.0,287.17,10.15,36.18,12.1
dish_1566937992,cheese pizza,104.0,276.54,9.78,34.84,11.65
dish_1560529804,watermelon,51.0,15.3,0.1,3.88,0.31
dish_1557863056,avocado,47.0,75.2,7.05,4.23,0.94
dish_1561741139,bacon,20.0,108.2,8.4,0.28,7.4
dish_1560799277,pizza,73.0,111.02,3.73,14.73,4.93
dish_1558639440,apple,116.0,60.32,0.23,16.24,0.35
dish_1562614088,broccoli,67.0,23.45,0.27,4.69,1.61
dish_1565711115,bacon,308.0,321.53,14.41,2.39,39.71
dish_1558630176,apple,142.0,73.84,0.28,19.88,0.43
dish_1563220087,broccoli,98.0,162.74,6.42,19.86,7.34
dish_1562775241,oatmeal,220.0,140.36,2.16,28.08,3.85
dish_1562774980,oatmeal,201.0,136.68,2.81,24.12,4.82
dish_1566589933,tofu,122.0,89.06,5.86,2.32,9.76
dish_1558719066,apple,142.0,73.84,0.28,19.88,0.43
dish_1560443474,pineapple,317.0,172.78,0.72,43.25,1.99
dish_1558636483,apple,154.0,80.08,0.31,21.56,0.46
dish_1566838286,pineapple,145.0,72.5,0.14,18.85,0.72
dish_1565369938,bacon,31.0,167.71,13.02,0.43,11.47
dish_1561567086,watermelon,181.0,142.75,0.36,34.25,2.03
dish_1561577119,tofu,78.0,128.31,5.45,13.17,7.42
dish_1558725760,apple,161.0,83.72,0.32,22.54,0.48
dish_1565641844,cheese pizza,92.0,244.63,8.65,30.82,10.3
dish_1565123783,cheese pizza,35.0,93.06,3.29,11.72,3.92
dish_1558724766,apple,161.0,83.72,0.32,22.54,0.48
dish_1558640781,apple,154.0,80.08,0.31,21.56,0.46
dish_1566849233,avocado,117.0,94.8,7.33,7.94,2.48
dish_1558636763,apple,117.0,60.84,0.23,16.38,0.35
dish_1565036788,cheese pizza,70.0,186.13,6.58,23.45,7.84
dish_1566333118,cheese pizza,90.0,239.31,8.46,30.15,10.08
dish_1561392734,watermelon,198.0,84.24,0.49,20.94,1.28
dish_1564503219,bacon,242.0,213.86,8.01,1.82,29.06
dish_1562009810,brown rice,108.0,119.88,0.97,24.84,2.81
dish_1563216381,broccoli,99.0,34.65,0.4,6.93,2.38
dish_1559846825,pizza,95.0,252.7,9.21,31.35,10.45
dish_1568665935,cheese pizza,58.0,154.22,5.45,19.43,6.5
dish_1563464429,bacon,103.0,140.99,7.4,12.28,6.89
dish_1558028057,bacon,28.0,151.48,11.76,0.39,10.36
dish_1561148303,cheese pizza,45.0,119.65,4.23,15.08,5.04
dish_1558468632,chicken,103.0,169.95,3.71,0.0,31.93
dish_1564688969,cheese pizza,90.0,239.31,8.46,30.15,10.08
dish_1558545738,apple,142.0,73.84,0.28,19.88,0.43
dish_1558381143,sausage,53.0,182.64,14.47,2.23,10.23
dish_1562009098,tofu,96.0,70.08,4.61,1.82,7.68
dish_1558638163,carrot,99.0,40.59,0.2,9.9,0.89
dish_1558630867,apple,142.0,73.84,0.28,19.88,0.43
dish_1558719377,apple,142.0,73.84,0.28,19.88,0.43
dish_1559061675,watermelon,83.0,24.9,0.17,6.31,0.5
dish_1564159520,bacon,42.0,227.22,17.64,0.59,15.54
dish_1558459945,apple,142.0,73.84,0.28,19.88,0.43
dish_1564502063,bacon,92.0,497.72,38.64,1.29,34.04
dish_1559233627,bacon,12.0,64.92,5.04,0.17,4.44
dish_1558724723,broccoli,112.0,39.2,0.45,7.84,2.69
dish_1564086624,cheese pizza,131.0,217.29,6.57,34.46,8.03
dish_1564588483,sausage,51.0,175.75,13.92,2.14,9.84
dish_1558721904,apple,143.0,74.36,0.29,20.02,0.43
dish_1559245848,orange,127.0,59.69,0.13,15.24,1.14
dish_1562950895,sweet potato,144.0,137.82,3.51,25.29,1.4
dish_1558110335,bacon,7.0,37.87,2.94,0.1,2.59
dish_1562689548,pineapple,267.0,216.54,7.53,18.1,19.5
dish_1562860700,pineapple,47.0,23.5,0.05,6.11,0.23
dish_1565711083,bacon,33.0,178.53,13.86,0.46,12.21
dish_1559319971,sweet potato,96.0,72.96,0.0,17.28,0.96
dish_1558639138,carrot,54.0,22.14,0.11,5.4,0.49
dish_1561577549,pizza,49.0,130.34,4.75,16.17,5.39
dish_1565641885,cheese pizza,139.0,254.22,8.7,32.65,11.34
dish_1558029278,bacon,27.0,146.07,11.34,0.38,9.99
dish_1558640450,apple,154.0,80.08,0.31,21.56,0.46
dish_1558724891,apple,161.0,83.72,0.32,22.54,0.48
dish_1558629677,apple,142.0,73.84,0.28,19.88,0.43
dish_1566838317,watermelon,284.0,114.2,0.42,29.41,1.56
dish_1564083480,grilled chicken,133.0,259.7,18.26,2.43,21.99
dish_1564503184,bacon,18.0,97.38,7.56,0.25,6.66
dish_1558722207,apple,160.0,83.2,0.32,22.4,0.48
dish_1560270537,pineapple,48.0,24.0,0.05,6.24,0.24
dish_1559585533,broccoli,37.0,12.95,0.15,2.59,0.89
dish_1559841979,broccoli,85.0,39.29,0.29,9.13,1.19
dish_1566328745,chicken,203.0,282.03,6.08,1.4,52.09
dish_1562183065,mushroom,75.0,16.5,0.23,2.48,2.33
dish_1568666230,lettuce,268.0,55.8,0.69,10.97,4.53
dish_1568044496,watermelon,118.0,35.4,0.24,8.97,0.71
dish_1561392710,watermelon,106.0,31.8,0.21,8.06,0.64
dish_1558027164,bacon,30.0,162.3,12.6,0.42,11.1
dish_1561481606,bacon,141.0,354.09,26.98,2.18,24.09
dish_1564518454,cheese pizza,62.0,164.86,5.83,20.77,6.94
dish_1563897087,broccoli,231.0,102.44,0.67,8.17,15.2
dish_1558640614,apple,116.0,60.32,0.23,16.24,0.35
dish_1563294987,bacon,18.0,97.38,7.56,0.25,6.66
dish_1561392410,sausage,84.0,187.3,14.05,4.45,10.63
dish_1565117892,tuna,102.0,132.6,0.61,0.0,29.58
dish_1563294408,pineapple,83.0,41.5,0.08,10.79,0.41
dish_1563897870,oatmeal,249.0,169.32,3.49,29.88,5.98
dish_1562871297,cheese pizza,47.0,124.97,4.42,15.75,5.26
dish_1562700685,mushroom,110.0,24.2,0.33,3.63,3.41
dish_1563475788,pineapple,78.0,39.0,0.08,10.14,0.39
dish_1564000417,cheese pizza,128.0,340.35,12.03,42.88,14.34
dish_1558457415,sweet potato,80.0,60.8,0.0,14.4,0.8
dish_1566419510,cheese pizza,103.0,273.88,9.68,34.51,11.54
dish_1558029686,bacon,22.0,119.02,9.24,0.31,8.14
dish_1561392386,sausage,51.0,175.75,13.92,2.14,9.84
dish_1558641007,carrot,57.0,23.37,0.11,5.7,0.51
dish_1559059924,bacon,20.0,108.2,8.4,0.28,7.4
dish_1559239912,orange,128.0,60.16,0.13,15.36,1.15
dish_1561393715,broccoli,49.0,17.15,0.2,3.43,1.18
dish_1562085132,bacon,17.0,91.97,7.14,0.24,6.29
dish_1562602589,sausage,106.0,365.28,28.94,4.45,20.46
dish_1558114484,bacon,28.0,151.48,11.76,0.39,10.36
dish_1563389548,grilled chicken,194.0,438.83,28.91,0.19,43.84
dish_1558639526,carrot,78.0,31.98,0.16,7.8,0.7
dish_1558116436,bacon,17.0,91.97,7.14,0.24,6.29
dish_1567625294,avocado,32.0,51.2,4.8,2.88,0.64
dish_1564169644,cheese pizza,163.0,433.42,15.32,54.6,18.26
dish_1558640941,carrot,53.0,21.73,0.11,5.3,0.48
dish_1563305513,cheese pizza,228.0,606.25,21.43,76.38,25.54
dish_1567110756,pizza,42.0,111.72,4.07,13.86,4.62
dish_1561393741,broccoli,165.0,188.83,12.96,5.29,12.78
dish_1562703345,pizza,58.0,154.28,5.63,19.14,6.38
dish_1565884738,watermelon,463.0,228.66,0.93,7.04,41.13
dish_1559239256,orange,128.0,60.16,0.13,15.36,1.15
dish_1558115169,bacon,28.0,151.48,11.76,0.39,10.36
dish_1560357297,sausage,492.0,942.45,71.89,10.71,59.34
dish_1563913588,cheese pizza,68.0,180.81,6.39,22.78,7.62
dish_1563900120,sweet potato,49.0,46.9,1.2,8.6,0.48
dish_1563218201,grilled chicken,156.0,352.87,23.24,0.16,35.26
dish_1563898688,broccoli,93.0,32.55,0.37,6.51,2.23
dish_1564590115,sweet potato,121.0,115.81,2.95,21.25,1.18
dish_1558381840,chicken,69.0,113.85,2.48,0.0,21.39
dish_1563395341,cheese pizza,54.0,143.59,5.08,18.09,6.05
dish_1561405332,broccoli,53.0,18.55,0.21,3.71,1.27
dish_1560798707,broccoli,139.0,298.02,10.28,38.35,12.84
dish_1565637504,pineapple,56.0,28.0,0.06,7.28,0.28
dish_1559674074,pizza,53.0,140.98,5.14,17.49,5.83
dish_1560527745,yogurt,149.0,87.76,0.6,5.36,14.9
dish_1562871363,white rice,140.0,245.87,4.7,41.79,7.78
dish_1563295016,bacon,79.0,127.88,7.62,8.18,6.96
dish_1558639306,carrot,99.0,40.59,0.2,9.9,0.89
dish_1558373008,sausage,73.0,251.56,19.93,3.07,14.09
dish_1563566909,wild rice,187.0,222.53,0.75,46.75,9.35
dish_1564675060,watermelon,77.0,23.1,0.15,5.85,0.46
dish_1558640604,apple,117.0,60.84,0.23,16.38,0.35
dish_1567629081,cheese pizza,90.0,239.31,8.46,30.15,10.08
dish_1563216412,white rice,205.0,172.45,0.71,36.61,5.24
dish_1559233445,pineapple,49.0,24.5,0.05,6.37,0.24
dish_1562168365,pineapple,140.0,70.0,0.14,18.2,0.7
dish_1566488905,sweet potato,86.0,82.31,2.1,15.1,0.84
dish_1558721272,carrot,72.0,29.52,0.14,7.2,0.65
dish_1563464389,bacon,17.0,91.97,7.14,0.24,6.29
dish_1559843492,broccoli,95.0,31.71,0.3,7.42,0.97
dish_1559841950,broccoli,32.0,11.2,0.13,2.24,0.77
dish_1558639849,carrot,57.0,23.37,0.11,5.7,0.51
dish_1560788384,yogurt,242.0,111.2,0.85,14.04,12.95
dish_1559846504,broccoli,233.0,126.17,0.33,32.79,1.57
dish_1560444701,watermelon,170.0,51.0,0.34,12.92,1.02
dish_1565799507,sweet potato,78.0,74.65,1.9,13.7,0.76
dish_1566414611,chicken,64.0,105.6,2.3,0.0,19.84
dish_1559149615,bacon,23.0,124.43,9.66,0.32,8.51
dish_1565195362,sweet potato,103.0,98.58,2.51,18.09,1.0
dish_1564605293,cheese pizza,152.0,404.17,14.29,50.92,17.02
dish_1558638137,apple,117.0,60.84,0.23,16.38,0.35
dish_1563389600,grilled chicken,264.0,451.43,29.05,2.92,44.47
dish_1558633158,carrot,85.0,34.85,0.17,8.5,0.77
dish_1564086602,cheese pizza,49.0,130.29,4.61,16.42,5.49
dish_1567024066,cheese pizza,86.0,228.67,8.08,28.81,9.63
dish_1562173381,sausage,113.0,389.4,30.85,4.75,21.81
dish_1565797645,watermelon,70.0,21.0,0.14,5.32,0.42
dish_1558629878,apple,142.0,73.84,0.28,19.88,0.43
dish_1557862345,chicken,63.0,103.95,2.27,0.0,19.53
dish_1558641926,apple,154.0,80.08,0.31,21.56,0.46
dish_1562689601,broccoli,37.0,20.61,1.05,2.53,0.87
dish_1562775456,sweet potato,66.0,50.16,0.0,11.88,0.66
dish_1558722398,apple,161.0,83.72,0.32,22.54,0.48
dish_1558640039,carrot,98.0,40.18,0.2,9.8,0.88
dish_1562949162,bacon,12.0,64.92,5.04,0.17,4.44
dish_1562173742,bacon,15.0,81.15,6.3,0.21,5.55
dish_1560787754,bacon,68.0,72.64,3.12,8.64,3.02
dish_1559578579,bacon,78.0,142.58,9.82,4.72,8.89
dish_1563897837,watermelon,304.0,118.47,0.71,29.57,1.93
dish_1561666761,cheese pizza,43.0,114.34,4.04,14.41,4.82
dish_1562777566,toast,84.0,263.0,3.53,46.62,10.92
dish_1563466280,bacon,66.0,357.06,27.72,0.92,24.42
dish_1558030910,bacon,15.0,81.15,6.3,0.21,5.55
dish_1563568263,cheese pizza,45.0,119.65,4.23,15.08,5.04
dish_1561575908,cheese pizza,40.0,106.36,3.76,13.4,4.48
dish_1563305689,mushroom,161.0,30.14,0.35,4.74,4.07
dish_1558635523,white rice,43.0,55.9,0.13,12.04,1.16
dish_1558377105,sausage,113.0,389.4,30.85,4.75,21.81
dish_1568061097,cheese pizza,55.0,146.24,5.17,18.43,6.16
dish_1560799558,pizza,74.0,196.84,7.18,24.42,8.14
dish_1563295334,bacon,96.0,228.54,17.38,1.49,15.54
dish_1572464692,hummus,56.0,0.0,0.0,0.0,0.0
dish_1571931457,sausage,44.0,0.0,0.0,0.0,0.0
dish_1574702473,bacon,161.0,0.0,0.0,0.0,0.0
dish_1571935895,oatmeal,222.0,0.0,0.0,0.0,0.0
dish_1571932375,sausage,117.0,0.0,0.0,0.0,0.0
dish_1575481406,sausage,27.0,0.0,0.0,0.0,0.0
dish_1572278943,bacon,96.0,0.0,0.0,0.0,0.0
dish_1572453675,sausage,38.0,0.0,0.0,0.0,0.0
dish_1573232835,bacon,27.0,0.0,0.0,0.0,0.0
dish_1573234760,bacon,21.0,0.0,0.0,0.0,0.0
dish_1574443257,bacon,160.0,0.0,0.0,0.0,0.0
