dish_id,food_class,area_cm2,long_cm,short_cm,total_mass_g,total_kcal,total_fat_g,total_carb_g,total_protein_g
dish_1561739930,sweet_potato,45.241,7.793,6.915,79.0,60.04,0.0,14.22,0.79
dish_1559158354,broccoli,36.703,7.429,6.765,60.0,21.0,0.24,4.2,1.44
dish_1557862738,steak,54.458,7.86,6.931,118.0,319.78,22.42,0.0,29.5
dish_1565627751,sweet_potato,57.216,9.717,7.926,72.0,68.91,1.76,12.64,0.7
dish_1565119418,pizza,58.15,7.827,7.727,122.0,324.4,11.47,40.87,13.66
dish_1560442258,bacon,19.132,6.749,5.14,185.0,289.37,16.4,21.11,15.09
dish_1559589873,mushroom,58.027,7.827,7.81,54.0,11.88,0.16,1.78,1.67
dish_1558544663,oatmeal,43.295,8.241,7.876,208.0,141.44,2.91,24.96,4.99
dish_1560887408,pizza,54.565,10.115,7.81,122.0,324.52,11.83,40.26,13.42
dish_1559233715,sweet_potato,37.259,10.214,7.793,110.0,83.6,0.0,19.8,1.1
dish_1566328724,chicken_breast,51.957,7.876,6.948,167.0,275.55,6.01,0.0,51.77
dish_1562963612,pizza,46.337,8.805,7.843,156.0,184.08,7.23,21.63,9.05
dish_1562961588,pizza,51.918,7.628,7.395,67.0,178.22,6.5,22.11,7.37
dish_1558640418,carrot,41.543,10.148,7.827,35.0,14.35,0.07,3.5,0.32
dish_1566316681,sweet_potato,57.763,8.606,7.86,122.0,116.76,2.98,21.42,1.19
dish_1564686657,pizza,58.594,7.843,7.644,105.0,279.19,9.87,35.17,11.76
dish_1562872150,mushroom,55.583,7.943,7.478,34.0,7.48,0.1,1.12,1.05
dish_1565974375,bacon,57.943,7.777,7.611,85.0,459.85,35.7,1.19,31.45
dish_1562085672,bread,57.652,8.075,7.71,46.0,122.08,1.93,19.46,6.21
dish_1562614895,broccoli,53.816,7.876,7.661,148.0,51.8,0.59,10.36,3.55
dish_1563217736,broccoli,53.563,7.843,7.677,67.0,23.45,0.27,4.69,1.61
dish_1565021054,tofu,18.237,5.936,5.339,144.0,263.75,13.85,25.22,11.45
dish_1564686702,pizza,57.323,7.744,7.644,130.0,307.94,12.54,36.75,11.96
dish_1565117934,chicken_breast,56.371,9.435,7.147,235.0,352.32,5.4,0.0,70.94
dish_1561752680,pizza,36.033,8.573,6.898,175.0,465.32,16.45,58.62,19.6
dish_1558468401,avocado,42.204,9.17,7.76,47.0,75.2,7.05,4.23,0.94
dish_1561666794,pizza,48.609,9.651,7.08,97.0,138.1,5.18,16.73,6.54
dish_1566317711,oatmeal,43.159,7.976,7.876,182.0,123.76,2.55,21.84,4.37
dish_1560788338,yogurt,24.302,7.926,3.134,121.0,71.27,0.48,4.36,12.1
dish_1563468199,pineapple,57.656,7.81,7.644,107.0,53.5,0.11,13.91,0.54
dish_1560444724,watermelon,52.499,8.54,7.545,343.0,113.28,0.51,28.49,1.89
dish_1561739623,broccoli,56.516,7.843,7.578,348.0,156.24,1.06,33.6,7.18
dish_1558381860,avocado,56.164,9.733,7.727,59.0,94.4,8.85,5.31,1.18
dish_1563898722,broccoli,22.766,6.699,5.323,303.0,343.35,23.47,9.87,23.23
dish_1568315988,tofu,57.823,7.943,7.777,69.0,50.37,3.31,1.31,5.52
dish_1563827086,pizza,51.088,9.352,7.943,175.0,199.04,7.69,23.59,10.0
dish_1568666184,salad,31.98,7.047,6.483,190.0,28.5,0.38,5.51,2.66
dish_1568400967,broccoli,37.278,7.76,6.931,113.0,36.61,0.45,7.2,2.63
dish_1558549605,white_rice,31.672,6.168,5.837,75.0,97.5,0.23,21.0,2.02
dish_1558724633,broccoli,45.445,8.573,7.677,94.0,32.9,0.38,6.58,2.26
dish_1558468589,mushroom,44.312,8.142,7.777,55.0,12.1,0.17,1.81,1.71
dish_1558641037,apple,33.917,8.573,7.81,117.0,60.84,0.23,16.38,0.35
dish_1567542778,pizza,58.888,9.75,7.744,98.0,260.58,9.21,32.83,10.98
dish_1558468435,broccoli,44.283,10.131,7.81,80.0,28.0,0.32,5.6,1.92
dish_1559059954,bacon,31.152,6.168,5.704,20.0,108.2,8.4,0.28,7.4
dish_1559238481,orange,43.815,9.12,7.827,127.0,59.69,0.13,15.24,1.14
dish_1568665970,pizza,55.434,7.876,7.644,167.0,202.18,7.74,24.12,9.98
dish_1563294441,pineapple,57.053,7.827,7.578,162.0,65.2,0.24,16.79,0.89
dish_1558031566,bacon,37.084,10.314,7.76,26.0,140.66,10.92,0.36,9.62
dish_1558631904,apple,41.201,9.767,7.76,154.0,80.08,0.31,21.56,0.46
dish_1562603536,bacon,28.808,6.401,6.119,14.0,75.74,5.88,0.2,5.18
dish_1558638216,white_rice,33.904,9.485,7.827,43.0,55.9,0.13,12.04,1.16
dish_1558636902,carrot,34.843,8.075,7.876,95.0,38.95,0.19,9.5,0.85
dish_1558640074,apple,30.814,6.517,6.467,116.0,60.32,0.23,16.24,0.35
dish_1563308323,carrot,52.683,7.694,7.263,66.0,27.06,0.13,6.6,0.59
dish_1562872182,mushroom,55.18,7.827,7.511,296.0,41.54,0.63,6.89,4.98
dish_1558722322,carrot,34.673,7.23,7.097,92.0,37.72,0.18,9.2,0.83
dish_1562947409,pineapple,58.903,7.76,7.71,190.0,103.19,0.42,25.87,1.18
dish_1558550079,apple,33.918,9.568,7.793,142.0,73.84,0.28,19.88,0.43
dish_1559838214,bacon,31.16,6.152,6.135,8.0,43.28,3.36,0.11,2.96
dish_1562184628,bacon,55.996,7.793,7.71,121.0,444.01,32.88,0.6,35.41
dish_1558723512,carrot,38.712,9.849,7.793,39.0,15.99,0.08,3.9,0.35
dish_1565640772,chicken_breast,30.878,7.114,6.898,191.0,241.17,5.15,2.86,43.66
dish_1563389413,broccoli,55.422,7.992,7.76,99.0,34.65,0.4,6.93,2.38
dish_1563305653,mushroom,44.154,8.042,6.765,117.0,25.74,0.35,3.86,3.63
dish_1558720097,carrot,31.323,5.986,5.886,74.0,30.34,0.15,7.4,0.67
dish_1558373284,sausage,56.87,9.849,7.777,113.0,389.4,30.85,4.75,21.81
dish_1558026714,bacon,40.063,8.374,7.727,24.0,129.84,10.08,0.34,8.88
dish_1558638844,apple,53.936,10.413,7.876,154.0,80.08,0.31,21.56,0.46
dish_1558379273,sausage,50.34,9.982,7.777,66.0,227.44,18.02,2.77,12.74
dish_1558373687,sausage,56.37,9.866,7.777,89.0,306.69,24.3,3.74,17.18
dish_1562704528,pizza,55.139,8.059,7.594,56.0,148.9,5.26,18.76,6.27
dish_1558640593,apple,36.104,9.7,7.744,116.0,60.32,0.23,16.24,0.35
dish_1559232986,bacon,36.168,6.915,6.019,35.0,189.35,14.7,0.49,12.95
dish_1561737176,sausage,54.074,7.843,7.611,117.0,403.18,31.94,4.91,22.58
dish_1562690886,broccoli,58.292,7.843,7.677,37.0,20.61,1.05,2.53,0.87
dish_1558379639,sausage,49.085,9.402,7.727,112.0,385.95,30.58,4.7,21.62
dish_1559932674,orange,36.646,9.418,7.727,124.0,58.28,0.12,14.88,1.12
dish_1565728388,pizza,53.014,7.827,7.23,47.0,124.97,4.42,15.75,5.26
dish_1558381665,broccoli,56.319,9.949,7.727,51.0,17.85,0.2,3.57,1.22
dish_1558723671,carrot,33.626,9.518,7.744,93.0,38.13,0.19,9.3,0.84
dish_1562874049,pizza,55.183,10.115,7.893,155.0,412.14,14.57,51.93,17.36
dish_1558641164,apple,37.209,9.584,7.777,154.0,80.08,0.31,21.56,0.46
dish_1568320296,pizza,45.479,7.644,7.644,85.0,226.01,7.99,28.48,9.52
dish_1562875211,pizza,19.688,6.284,4.411,147.0,282.24,10.54,34.45,12.35
dish_1563813833,sausage,37.22,8.606,7.926,207.0,256.87,14.24,3.23,25.44
dish_1562775373,bacon,57.469,7.943,7.86,148.0,329.08,24.96,2.31,22.36
dish_1563295292,bacon,36.046,9.369,7.76,22.0,119.02,9.24,0.31,8.14
dish_1562703382,pizza,41.922,8.772,7.876,145.0,203.87,5.89,31.32,6.99
dish_1564589025,sweet_potato,36.85,6.782,5.986,51.0,48.81,1.24,8.96,0.5
dish_1558458847,apple,41.943,8.938,7.71,143.0,74.36,0.29,20.02,0.43
dish_1560442450,yogurt,48.455,7.926,6.566,149.0,87.76,0.6,5.36,14.9
dish_1558115512,sausage,44.627,8.855,7.777,126.0,434.2,34.4,5.29,24.32
dish_1564588533,sausage,29.785,8.274,7.81,167.0,236.07,14.16,2.95,21.44
dish_1565811000,chicken_breast,33.547,8.324,7.876,225.0,342.85,7.46,0.72,64.13
dish_1560356523,bacon,14.79,7.909,1.923,92.0,497.72,38.64,1.29,34.04
dish_1559062051,sweet_potato,41.878,10.082,7.81,74.0,56.24,0.0,13.32,0.74
dish_1561567053,watermelon,32.3,7.163,7.147,87.0,26.1,0.17,6.61,0.52
dish_1558717604,apple,41.893,10.347,7.843,142.0,73.84,0.28,19.88,0.43
dish_1562774475,sausage,41.817,8.938,7.959,128.0,320.96,22.85,13.52,14.56
dish_1561739576,sweet_potato,56.55,7.843,7.611,84.0,63.84,0.0,15.12,0.84
dish_1558642490,carrot,42.933,7.362,7.23,187.0,61.95,0.47,14.1,2.51
dish_1567789154,sausage,43.371,10.247,7.793,111.0,382.51,30.3,4.66,21.42
dish_1557937079,bacon,33.065,6.168,5.77,27.0,146.07,11.34,0.38,9.99
dish_1558376734,sausage,48.552,9.369,7.81,60.0,206.76,16.38,2.52,11.58
dish_1558115764,bacon,45.7,9.783,7.793,28.0,151.48,11.76,0.39,10.36
dish_1564427406,chicken_breast,55.24,10.032,7.959,135.0,305.37,20.11,0.14,30.51
dish_1563302315,mushroom,57.982,8.307,7.81,63.0,13.86,0.19,2.08,1.95
dish_1558635546,apple,32.205,9.253,7.76,117.0,60.84,0.23,16.38,0.35
dish_1561060477,pineapple,10.572,7.876,1.343,105.0,141.02,3.92,22.05,4.91
dish_1565987269,pizza,45.099,8.938,7.909,45.0,119.65,4.23,15.08,5.04
dish_1559059992,sweet_potato,30.494,5.87,5.82,94.0,71.44,0.0,16.92,0.94
dish_1558548666,white_rice,35.011,6.915,5.837,75.0,97.5,0.23,21.0,2.02
dish_1566851549,pizza,57.611,8.656,7.876,85.0,226.01,7.99,28.48,9.52
dish_1562956486,tofu,56.805,8.556,7.943,142.0,103.66,6.82,2.7,11.36
dish_1558462228,white_rice,22.4,7.843,3.25,17.0,22.1,0.05,4.76,0.46
dish_1558115915,sausage,49.723,9.767,7.81,59.0,203.31,16.11,2.48,11.39
dish_1562184604,steak,58.758,8.026,7.793,78.0,211.38,14.82,0.0,19.5
dish_1559589902,mushroom,42.518,6.931,6.765,76.0,16.37,0.18,2.64,2.16
dish_1565813386,tofu,56.732,7.777,7.727,156.0,113.88,7.49,2.96,12.48
dish_1560529825,watermelon,31.358,6.003,5.92,117.0,52.92,0.3,13.12,0.77
dish_1565894889,pizza,34.626,6.5,5.87,74.0,257.81,11.17,33.29,6.64
dish_1561577083,pizza,53.349,7.694,7.644,37.0,98.38,3.48,12.39,4.14
dish_1559846034,broccoli,46.667,9.07,7.793,32.0,11.2,0.13,2.24,0.77
dish_1564000202,pizza,14.651,7.909,1.923,149.0,396.19,14.01,49.92,16.69
dish_1558546918,white_rice,31.572,10.33,7.76,54.0,70.2,0.16,15.12,1.46
dish_1560799113,pizza,56.318,7.893,7.86,37.0,98.42,3.59,12.21,4.07
dish_1562947376,pineapple,14.971,7.893,1.94,73.0,36.5,0.07,9.49,0.36
dish_1561663035,pizza,55.496,10.364,7.893,99.0,263.24,9.31,33.17,11.09
dish_1560787696,bacon,57.145,8.407,7.909,7.0,37.87,2.94,0.1,2.59
dish_1561481577,bacon,31.584,6.417,6.168,37.0,200.17,15.54,0.52,13.69
dish_1563827060,pizza,54.347,7.694,7.677,55.0,146.24,5.17,18.43,6.16
dish_1559578551,bacon,42.46,8.904,7.727,23.0,124.43,9.66,0.32,8.51
dish_1558642420,carrot,48.566,8.705,7.644,95.0,38.95,0.19,9.5,0.85
dish_1558372695,sausage,49.421,9.7,7.76,43.0,148.18,11.74,1.81,8.3
dish_1562774346,cheese,53.863,9.087,7.727,264.0,422.65,31.81,4.19,28.29
dish_1559319902,pineapple,37.143,9.733,7.793,17.0,8.5,0.02,2.21,0.09
dish_1560527950,watermelon,6.984,5.173,1.426,77.0,23.1,0.15,5.85,0.46
dish_1562789207,pizza,54.092,7.744,7.611,55.0,146.24,5.17,18.43,6.16
dish_1558717886,apple,41.935,10.397,7.843,142.0,73.84,0.28,19.88,0.43
dish_1565727765,broccoli,48.365,8.921,7.86,77.0,26.32,0.31,5.24,1.83
dish_1558380527,sausage,45.91,8.739,7.76,112.0,385.95,30.58,4.7,21.62
dish_1558725734,carrot,36.183,9.186,7.81,75.0,30.75,0.15,7.5,0.68
dish_1567801716,pizza,42.707,9.932,7.827,38.0,101.04,3.57,12.73,4.26
dish_1558641211,carrot,40.593,9.186,7.827,8.0,3.28,0.02,0.8,0.07
dish_1560270585,pineapple,31.967,6.284,5.903,114.0,43.8,0.18,11.26,0.64
dish_1557936599,broccoli,41.996,7.876,7.76,63.0,22.05,0.25,4.41,1.51
dish_1559838279,bacon,32.14,6.732,5.82,114.0,103.7,3.68,14.95,3.7
dish_1558721559,carrot,37.072,8.904,7.793,92.0,37.72,0.18,9.2,0.83
dish_1558630600,apple,39.042,10.264,7.793,142.0,73.84,0.28,19.88,0.43
dish_1566328894,pizza,53.082,7.827,6.881,89.0,236.65,8.37,29.82,9.97
dish_1562963583,pizza,53.199,7.943,7.677,52.0,138.32,5.04,17.16,5.72
dish_1565020755,bacon,53.797,7.959,7.213,8.0,43.28,3.36,0.11,2.96
dish_1558639167,apple,31.107,6.202,6.185,154.0,80.08,0.31,21.56,0.46
dish_1559149650,carrot,50.332,9.75,7.827,64.0,26.24,0.13,6.4,0.58
dish_1558030383,bacon,33.741,9.651,7.81,26.0,140.66,10.92,0.36,9.62
dish_1561663541,white_rice,56.563,8.291,7.495,112.0,124.32,1.01,25.76,2.91
dish_1561654732,sweet_potato,56.488,7.876,7.18,191.0,242.36,14.85,12.24,14.06
dish_1564427430,chicken_breast,13.912,7.909,1.857,170.0,345.62,23.86,2.34,30.79
dish_1561060448,pizza,55.584,7.81,7.661,41.0,109.02,3.85,13.74,4.59
dish_1558628339,bacon,33.854,9.783,7.793,13.0,70.33,5.46,0.18,4.81
dish_1558637351,apple,31.714,9.435,7.81,154.0,80.08,0.31,21.56,0.46
dish_1564774773,broccoli,48.766,8.739,7.876,90.0,50.14,2.55,6.15,2.11
dish_1562963246,pizza,55.508,8.987,7.876,122.0,324.4,11.47,40.87,13.66
dish_1562945131,broccoli,56.738,8.092,7.578,67.0,37.32,1.9,4.58,1.57
dish_1562784242,pizza,4.564,2.935,2.819,32.0,85.12,3.1,10.56,3.52
dish_1558375833,sausage,51.27,9.534,7.694,92.0,317.03,25.12,3.86,17.76
dish_1559925037,bacon,31.554,9.684,7.71,10.0,54.1,4.2,0.14,3.7
dish_1562173411,bacon,34.059,8.407,7.876,159.0,638.26,50.17,5.39,38.83
dish_1559240256,broccoli,32.976,6.036,5.787,54.0,18.9,0.22,3.78,1.3
dish_1564777933,pizza,52.706,7.744,7.263,39.0,103.7,3.67,13.07,4.37
dish_1565117429,pizza,56.83,8.739,7.827,147.0,390.87,13.82,49.25,16.46
dish_1563897938,bacon,14.308,7.943,1.923,10.0,54.1,4.2,0.14,3.7
dish_1566934366,pizza,58.696,7.793,7.777,33.0,87.75,3.1,11.05,3.7
dish_1561134102,watermelon,34.468,6.616,5.936,81.0,24.3,0.16,6.16,0.49
dish_1562946006,sausage,56.147,7.81,7.727,224.0,535.98,41.59,6.29,32.07
dish_1563468240,pineapple,56.235,7.876,7.611,239.0,93.1,0.37,23.94,1.33
dish_1561049320,bacon,35.186,9.601,7.793,19.0,102.79,7.98,0.27,7.03
dish_1558114441,sausage,58.55,9.75,7.76,75.0,258.45,20.48,3.15,14.47
dish_1558722636,carrot,48.598,10.148,7.86,75.0,30.75,0.15,7.5,0.68
dish_1558632921,apple,37.115,9.12,7.71,155.0,80.6,0.31,21.7,0.47
dish_1558109986,sausage,34.276,10.214,7.777,75.0,258.45,20.48,3.15,14.47
dish_1567020340,broccoli,54.809,10.115,7.86,168.0,93.59,4.75,11.47,3.93
dish_1564690038,lentils,49.767,7.495,7.014,81.0,92.34,0.32,16.2,7.29
dish_1558640808,carrot,33.46,9.651,7.843,26.0,10.66,0.05,2.6,0.23
dish_1558719570,apple,38.535,9.352,7.81,143.0,74.36,0.29,20.02,0.43
dish_1568047932,broccoli,49.598,7.677,6.599,55.0,30.64,1.56,3.76,1.29
dish_1558641200,carrot,42.777,9.203,7.793,8.0,3.28,0.02,0.8,0.07
dish_1561578775,pizza,53.794,7.694,7.511,111.0,295.15,10.43,37.19,12.43
dish_1562875159,pizza,57.541,7.976,7.76,98.0,260.68,9.51,32.34,10.78
dish_1560798656,pizza,10.638,7.86,1.36,108.0,287.17,10.15,36.18,12.1
dish_1566937992,pizza,57.892,8.987,7.843,104.0,276.54,9.78,34.84,11.65
dish_1560529804,watermelon,31.304,5.936,5.903,51.0,15.3,0.1,3.88,0.31
dish_1557863056,avocado,46.959,7.677,6.168,47.0,75.2,7.05,4.23,0.94
dish_1561741139,bacon,43.428,9.932,7.876,20.0,108.2,8.4,0.28,7.4
dish_1560799277,pizza,10.606,7.926,1.343,73.0,111.02,3.73,14.73,4.93
dish_1558639440,apple,31.17,6.351,6.334,116.0,60.32,0.23,16.24,0.35
dish_1562614088,broccoli,54.103,7.893,7.594,67.0,23.45,0.27,4.69,1.61
dish_1565711115,bacon,59.06,8.059,7.76,308.0,321.53,14.41,2.39,39.71
dish_1558630176,apple,31.944,9.269,7.744,142.0,73.84,0.28,19.88,0.43
dish_1563220087,broccoli,55.503,7.694,7.644,98.0,162.74,6.42,19.86,7.34
dish_1562775241,oatmeal,51.259,8.506,7.909,220.0,140.36,2.16,28.08,3.85
dish_1562774980,oatmeal,24.388,7.926,3.084,201.0,136.68,2.81,24.12,4.82
dish_1566589933,tofu,15.232,7.943,1.973,122.0,89.06,5.86,2.32,9.76
dish_1558719066,apple,40.856,10.231,7.843,142.0,73.84,0.28,19.88,0.43
dish_1560443474,pineapple,58.239,7.71,7.694,317.0,172.78,0.72,43.25,1.99
dish_1558636483,apple,31.26,9.551,7.793,154.0,80.08,0.31,21.56,0.46
dish_1566838286,pineapple,15.406,7.943,1.99,145.0,72.5,0.14,18.85,0.72
dish_1565369938,bacon,57.115,7.943,7.827,31.0,167.71,13.02,0.43,11.47
dish_1561567086,watermelon,45.632,8.921,7.876,181.0,142.75,0.36,34.25,2.03
dish_1561577119,tofu,53.411,7.827,7.296,78.0,128.31,5.45,13.17,7.42
dish_1558725760,apple,50.131,10.529,7.81,161.0,83.72,0.32,22.54,0.48
dish_1565641844,pizza,53.64,7.777,7.594,92.0,244.63,8.65,30.82,10.3
dish_1565123783,pizza,54.552,7.76,7.545,35.0,93.06,3.29,11.72,3.92
dish_1558724766,apple,37.537,10.181,7.86,161.0,83.72,0.32,22.54,0.48
dish_1558640781,apple,33.201,9.75,7.793,154.0,80.08,0.31,21.56,0.46
dish_1566849233,avocado,36.505,7.379,6.633,117.0,94.8,7.33,7.94,2.48
dish_1558636763,apple,34.321,9.601,7.81,117.0,60.84,0.23,16.38,0.35
dish_1565036788,pizza,54.635,8.606,7.86,70.0,186.13,6.58,23.45,7.84
dish_1566333118,pizza,57.052,9.236,7.86,90.0,239.31,8.46,30.15,10.08
dish_1561392734,watermelon,31.954,6.284,5.804,198.0,84.24,0.49,20.94,1.28
dish_1564503219,bacon,55.979,7.843,7.76,242.0,213.86,8.01,1.82,29.06
dish_1562009810,white_rice,57.789,8.059,7.744,108.0,119.88,0.97,24.84,2.81
dish_1563216381,broccoli,58.415,8.191,7.876,99.0,34.65,0.4,6.93,2.38
dish_1559846825,pizza,59.078,7.926,7.793,95.0,252.7,9.21,31.35,10.45
dish_1568665935,pizza,55.734,7.86,7.545,58.0,154.22,5.45,19.43,6.5
dish_1563464429,bacon,52.457,9.833,7.86,103.0,140.99,7.4,12.28,6.89
dish_1558028057,bacon,44.576,8.954,7.843,28.0,151.48,11.76,0.39,10.36
dish_1561148303,pizza,48.003,8.656,7.876,45.0,119.65,4.23,15.08,5.04
dish_1558468632,chicken_breast,51.624,9.286,7.76,103.0,169.95,3.71,0.0,31.93
dish_1564688969,pizza,14.597,7.909,1.89,90.0,239.31,8.46,30.15,10.08
dish_1558545738,apple,58.199,10.314,7.909,142.0,73.84,0.28,19.88,0.43
dish_1558381143,sausage,47.933,9.634,7.694,53.0,182.64,14.47,2.23,10.23
dish_1562009098,tofu,14.175,7.893,1.923,96.0,70.08,4.61,1.82,7.68
dish_1558638163,carrot,33.714,9.07,7.727,99.0,40.59,0.2,9.9,0.89
dish_1558630867,apple,38.822,10.43,7.793,142.0,73.84,0.28,19.88,0.43
dish_1558719377,apple,31.205,9.684,7.793,142.0,73.84,0.28,19.88,0.43
dish_1559061675,watermelon,47.379,9.136,7.843,83.0,24.9,0.17,6.31,0.5
dish_1564159520,bacon,48.383,7.876,7.81,42.0,227.22,17.64,0.59,15.54
dish_1558459945,apple,51.407,9.717,7.677,142.0,73.84,0.28,19.88,0.43
dish_1564502063,bacon,44.839,9.203,7.727,92.0,497.72,38.64,1.29,34.04
dish_1559233627,bacon,30.649,5.82,5.688,12.0,64.92,5.04,0.17,4.44
dish_1558724723,broccoli,42.166,7.677,7.097,112.0,39.2,0.45,7.84,2.69
dish_1564086624,pizza,52.143,7.793,7.727,131.0,217.29,6.57,34.46,8.03
dish_1564588483,sausage,41.587,9.468,7.81,51.0,175.75,13.92,2.14,9.84
dish_1558721904,apple,41.918,10.43,7.827,143.0,74.36,0.29,20.02,0.43
dish_1559245848,orange,30.516,6.699,6.616,127.0,59.69,0.13,15.24,1.14
dish_1562950895,sweet_potato,57.395,8.092,7.594,144.0,137.82,3.51,25.29,1.4
dish_1558110335,bacon,43.578,9.717,7.694,7.0,37.87,2.94,0.1,2.59
dish_1562689548,pineapple,50.758,9.684,7.81,267.0,216.54,7.53,18.1,19.5
dish_1562860700,pineapple,30.763,5.986,5.704,47.0,23.5,0.05,6.11,0.23
dish_1565711083,bacon,43.138,8.921,7.727,33.0,178.53,13.86,0.46,12.21
dish_1559319971,sweet_potato,35.141,9.07,7.777,96.0,72.96,0.0,17.28,0.96
dish_1558639138,carrot,31.155,6.649,6.202,54.0,22.14,0.11,5.4,0.49
dish_1561577549,pizza,57.526,8.108,7.545,49.0,130.34,4.75,16.17,5.39
dish_1565641885,pizza,45.484,9.418,7.81,139.0,254.22,8.7,32.65,11.34
dish_1558029278,bacon,31.926,9.468,7.677,27.0,146.07,11.34,0.38,9.99
dish_1558640450,apple,42.817,10.397,7.843,154.0,80.08,0.31,21.56,0.46
dish_1558724891,apple,37.993,10.065,7.827,161.0,83.72,0.32,22.54,0.48
dish_1558629677,apple,37.118,8.954,7.843,142.0,73.84,0.28,19.88,0.43
dish_1566838317,watermelon,15.306,7.959,1.973,284.0,114.2,0.42,29.41,1.56
dish_1564083480,chicken_breast,49.985,7.727,7.694,133.0,259.7,18.26,2.43,21.99
dish_1564503184,bacon,56.727,7.876,7.777,18.0,97.38,7.56,0.25,6.66
dish_1558722207,apple,45.701,10.015,7.744,160.0,83.2,0.32,22.4,0.48
dish_1560270537,pineapple,33.408,6.5,6.003,48.0,24.0,0.05,6.24,0.24
dish_1559585533,broccoli,32.549,6.168,5.721,37.0,12.95,0.15,2.59,0.89
dish_1559841979,broccoli,35.469,9.02,7.76,85.0,39.29,0.29,9.13,1.19
dish_1566328745,chicken_breast,51.707,7.827,6.964,203.0,282.03,6.08,1.4,52.09
dish_1562183065,mushroom,54.799,7.744,7.677,75.0,16.5,0.23,2.48,2.33
dish_1568666230,salad,41.572,8.772,7.876,268.0,55.8,0.69,10.97,4.53
dish_1568044496,watermelon,58.474,9.319,7.793,118.0,35.4,0.24,8.97,0.71
dish_1561392710,watermelon,43.351,8.523,7.893,106.0,31.8,0.21,8.06,0.64
dish_1558027164,bacon,32.409,5.969,5.787,30.0,162.3,12.6,0.42,11.1
dish_1561481606,bacon,58.512,8.224,7.926,141.0,354.09,26.98,2.18,24.09
dish_1564518454,pizza,53.44,7.71,7.594,62.0,164.86,5.83,20.77,6.94
dish_1563897087,broccoli,52.819,8.473,7.926,231.0,102.44,0.67,8.17,15.2
dish_1558640614,apple,48.874,9.568,7.727,116.0,60.32,0.23,16.24,0.35
dish_1563294987,bacon,59.117,8.274,7.893,18.0,97.38,7.56,0.25,6.66
