portion_id,food_type,area_cm2,height_cm,side_area_cm2,top_aspect,top_circ,top_solidity,top_extent,top_elong,side_aspect,side_circ,side_solidity,side_extent,side_elong,volume_ml,weight_g,density_g_per_ml
banana012,banana,58.036,2.857,33.818,0.4735,0.4571,0.7459,0.587,0.4885,4.8194,0.4196,0.9753,0.8443,0.8111,140.0,117.1,0.8364
banana013,banana,117.878,3.22,41.826,0.4961,0.135,0.7621,0.7356,0.5107,4.8471,0.3835,0.9602,0.8187,0.8075,190.0,160.1,0.8426
banana014,banana,85.646,3.365,40.861,0.5172,0.3253,0.6527,0.5136,0.4183,4.381,0.3522,0.899,0.8103,0.809,170.0,157.0,0.9235
banana015,banana,135.551,3.875,20.517,1.9104,0.1641,0.8795,0.8129,0.3733,1.6774,0.786,0.9874,0.8017,0.4424,170.0,164.8,0.9694
bread001,bread,100.954,2.663,26.265,1.0373,0.6644,0.9002,0.6334,0.1249,4.4898,0.3368,0.9311,0.8123,0.8103,140.0,26.6,0.19
bread002,bread,102.954,3.342,34.111,1.0285,0.6611,0.9019,0.5665,0.1203,3.4198,0.3909,0.9423,0.874,0.7256,150.0,28.8,0.192
bread003,bread,119.996,2.5,30.403,1.0204,0.45,0.8646,0.6003,0.0975,5.45,0.3643,0.9781,0.8787,0.8474,160.0,26.0,0.1625
bread004,bread,101.91,3.125,27.907,1.0317,0.6773,0.8945,0.5262,0.0741,3.7,0.2549,0.8685,0.7475,0.7478,170.0,27.7,0.1629
bread005,bread,97.192,2.146,20.562,1.0072,0.6655,0.9054,0.5339,0.032,5.7294,0.3343,0.9531,0.7662,0.8486,170.0,26.4,0.1553
bread006,bread,98.556,1.952,23.536,1.0503,0.6998,0.9456,0.614,0.0535,7.1579,0.2753,0.9581,0.8433,0.8801,140.0,28.4,0.2029
bread007,bread,115.93,2.99,33.654,1.0749,0.7522,0.9665,0.7947,0.0574,3.9918,0.3569,0.9796,0.9583,0.7725,140.0,33.0,0.2357
bun001,bun,57.238,6.483,41.452,1.4369,0.5757,0.9226,0.687,0.3735,1.2092,0.426,0.9542,0.7997,0.1841,210.0,80.4,0.3829
bun002,bun,92.848,5.035,32.142,1.2136,0.5494,0.9728,0.9647,0.1986,1.5586,0.2996,0.9459,0.7977,0.4275,230.0,93.6,0.407
bun003,bun,93.616,6.139,46.503,0.7531,0.5784,0.9812,0.974,0.3269,1.5648,0.7393,0.9678,0.7814,0.3687,270.0,93.2,0.3452
bun004,bun,93.66,6.791,54.202,1.4286,0.7608,1.0,0.9922,0.332,1.2139,0.4828,0.9743,0.9655,0.1538,270.0,83.9,0.3107
bun005,bun,77.635,6.725,52.736,0.9492,0.5933,0.9916,0.983,0.015,1.3874,0.7401,0.9842,0.8299,0.2967,210.0,69.1,0.329
bun006,bun,86.815,4.824,29.998,1.2537,0.5181,0.9676,0.8801,0.2176,1.5427,0.4801,0.9765,0.8247,0.3808,260.0,78.3,0.3012
bun007,bun,80.66,5.149,39.221,1.1378,0.4793,0.9513,0.8433,0.1703,1.9275,0.4336,0.9578,0.7557,0.5056,260.0,84.4,0.3246
bun008,bun,52.319,4.375,25.404,1.5414,0.5172,0.9429,0.8881,0.3658,1.4762,0.3863,0.9369,0.8829,0.323,200.0,69.5,0.3475
doughnut001,doughnut,80.963,3.106,17.845,1.0494,0.6466,0.9819,0.8872,0.0594,2.1585,0.7207,0.9908,0.8496,0.571,170.0,49.0,0.2882
doughnut002,doughnut,72.571,3.581,26.17,1.0305,0.7281,0.983,0.7684,0.0288,2.3987,0.6265,0.9639,0.841,0.6154,220.0,65.6,0.2982
doughnut003,doughnut,76.156,3.9,29.859,0.9603,0.3996,0.9396,0.8362,0.0469,2.2564,0.6208,0.9841,0.8592,0.5798,220.0,67.1,0.305
doughnut004,doughnut,80.716,3.309,26.157,1.1107,0.824,0.9938,0.8748,0.1338,2.5889,0.6694,0.9895,0.8888,0.6362,200.0,62.5,0.3125
doughnut005,doughnut,91.639,3.47,31.005,0.9792,0.5132,0.9536,0.807,0.1094,2.871,0.5647,0.9777,0.8794,0.684,220.0,64.4,0.2927
doughnut006,doughnut,87.537,3.979,38.881,0.9298,0.7843,0.9882,0.8113,0.0852,2.5664,0.3548,0.9619,0.9499,0.6373,160.0,66.2,0.4138
doughnut007,doughnut,75.577,3.514,33.214,0.9437,0.5481,0.9725,0.8582,0.079,3.0722,0.4825,0.966,0.8619,0.6812,190.0,52.4,0.2758
doughnut008,doughnut,77.084,3.4,27.092,0.9772,0.4314,0.9292,0.8827,0.0846,2.6765,0.6558,0.9843,0.8643,0.6514,170.0,54.7,0.3218
doughnut009,doughnut,86.535,0.865,2.029,1.0248,0.5893,0.9582,0.904,0.0908,3.0,0.5483,0.9725,0.8856,0.6928,180.0,50.6,0.2811
egg001,egg,17.852,3.885,12.148,1.2821,0.8533,0.9884,0.7621,0.2437,1.0297,0.8932,0.9892,0.7679,0.0228,50.0,57.0,1.14
egg003,egg,23.332,4.312,19.305,0.8371,0.7233,0.978,0.882,0.1583,1.2689,0.4717,0.9183,0.8025,0.2514,50.0,54.5,1.09
egg004,egg,19.583,4.467,16.406,1.3019,0.875,0.9927,0.785,0.25,1.0299,0.8956,0.9922,0.7879,0.0566,50.0,59.2,1.184
egg005,egg,20.0,4.2,15.187,1.2909,0.4452,0.9198,0.7439,0.3098,1.0159,0.741,0.9808,0.7745,0.0293,50.0,59.5,1.19
egg006,egg,35.686,4.437,18.082,1.3768,0.7654,1.0,0.9875,0.304,1.0635,0.4209,0.931,0.8689,0.1007,50.0,57.0,1.14
egg007,egg,33.112,4.813,21.688,1.5455,0.7489,1.0,0.9864,0.3899,1.1163,0.4665,0.9289,0.8281,0.1495,60.0,68.9,1.1483
fired_dough_twist001,fired_dough_twist,46.089,4.058,27.252,0.4522,0.4861,0.8989,0.7364,0.5724,2.3306,0.2194,0.8114,0.5447,0.6609,60.0,37.8,0.63
fired_dough_twist002,fired_dough_twist,34.823,4.513,32.424,0.498,0.418,0.8628,0.7378,0.5647,2.1439,0.4194,0.8557,0.6859,0.5728,70.0,45.9,0.6557
fired_dough_twist003,fired_dough_twist,35.656,2.317,12.629,0.416,0.4659,0.938,0.8176,0.5882,4.3289,0.2107,0.5351,0.5265,0.7656,80.0,41.7,0.5212
fired_dough_twist004,fired_dough_twist,34.126,3.924,33.118,0.4592,0.2416,0.8885,0.8451,0.5779,2.6018,0.4471,0.941,0.7707,0.6665,60.0,39.6,0.66
fired_dough_twist005,fired_dough_twist,33.541,3.388,25.539,0.4551,0.6187,0.9588,0.844,0.586,2.8447,0.2999,0.8783,0.751,0.6647,90.0,45.1,0.5011
fired_dough_twist006,fired_dough_twist,28.657,2.75,21.551,0.4145,0.4498,0.8916,0.6713,0.6808,3.6364,0.404,0.9168,0.7553,0.7667,50.0,40.2,0.804
fired_dough_twist007,fired_dough_twist,41.03,4.267,35.466,0.4894,0.4864,0.9012,0.7595,0.5265,2.798,0.4505,0.8625,0.6844,0.6771,60.0,38.4,0.64
grape001,grape,121.105,10.152,60.883,0.9346,0.0806,0.3912,0.389,0.0667,0.9188,0.4648,0.8574,0.5095,0.4116,450.0,448.0,0.9956
grape002,grape,78.085,6.308,26.444,0.971,0.0629,0.4552,0.4518,0.1495,2.0987,0.1377,0.3628,0.3523,0.4841,240.0,219.5,0.9146
lemon001,lemon,33.803,4.683,21.013,0.9293,0.8078,0.979,0.8077,0.1692,1.1949,0.8883,0.9906,0.7908,0.1408,100.0,94.2,0.942
lemon002,lemon,33.939,5.25,26.613,0.8791,0.7808,0.98,0.8219,0.1822,1.2063,0.8703,0.9909,0.7933,0.1622,100.0,97.5,0.975
lemon003,lemon,36.517,5.192,22.343,0.8958,0.5935,0.9409,0.8026,0.1656,1.0148,0.9021,0.9927,0.8017,0.0261,90.0,92.3,1.0256
lemon004,lemon,36.91,5.125,26.007,0.8982,0.7958,0.9855,0.8499,0.1509,1.1951,0.8817,0.9921,0.8173,0.164,100.0,90.1,0.901
litchi001,litchi,16.905,4.234,14.206,1.027,0.3779,0.9069,0.7109,0.0249,1.019,0.8411,0.9791,0.7638,0.0379,40.0,38.4,0.96
litchi002,litchi,23.216,4.205,14.979,1.0853,0.6558,0.9838,0.9673,0.0774,1.0901,0.2703,0.8662,0.7546,0.1424,40.0,39.8,0.995
litchi003,litchi,25.54,4.385,17.956,0.9812,0.8071,0.9888,0.8577,0.0545,1.1754,0.8614,0.9827,0.7826,0.158,50.0,51.5,1.03
litchi004,litchi,19.614,4.615,17.47,1.1497,0.825,0.9783,0.7587,0.1392,1.025,0.282,0.8574,0.7972,0.0983,40.0,40.9,1.0225
litchi005,litchi,30.501,3.979,12.687,0.9939,0.7854,1.0,0.9878,0.0069,1.1239,0.7547,0.9564,0.6989,0.0935,40.0,39.0,0.975
mango001,mango,58.155,5.735,31.372,1.4043,0.8261,0.9904,0.7848,0.2903,1.1987,0.886,0.9929,0.7872,0.1767,180.0,192.3,1.0683
mango002,mango,49.062,4.25,17.788,1.3957,0.6458,0.9721,0.7784,0.29,1.2279,0.8711,0.9925,0.7903,0.2136,130.0,150.5,1.1577
mango003,mango,50.606,4.942,34.88,1.4121,0.825,0.988,0.8017,0.2987,1.8824,0.741,0.9842,0.7388,0.4752,200.0,203.0,1.015
mango004,mango,23.351,3.269,15.426,0.7432,0.8287,0.989,0.7475,0.3134,1.8353,0.7347,0.9805,0.7697,0.4637,60.0,55.1,0.9183
mango005,mango,31.099,3.409,18.295,0.6103,0.7588,0.9816,0.7828,0.4229,1.9667,0.7383,0.9907,0.7874,0.5272,50.0,68.3,1.366
mango006,mango,48.0,3.657,22.81,0.7059,0.6224,0.9629,0.9254,0.3011,2.0714,0.7401,0.9911,0.8116,0.5317,90.0,87.6,0.9733
mango007,mango,32.86,3.294,18.303,0.6842,0.7993,0.9844,0.7903,0.3515,2.0,0.7573,0.9927,0.8292,0.5212,50.0,70.9,1.418
mango008,mango,38.209,3.694,22.09,0.76,0.8345,0.9926,0.839,0.2456,2.0,0.7476,0.9908,0.7977,0.5201,110.0,99.7,0.9064
mango009,mango,39.541,4.29,18.764,1.4839,0.6598,0.9666,0.8083,0.3189,1.3094,0.829,0.992,0.7692,0.3368,80.0,86.2,1.0775
mango010,mango,56.138,4.016,18.732,1.3434,0.3352,0.954,0.944,0.1529,1.5102,0.763,0.9773,0.755,0.3037,90.0,104.3,1.1589
mooncake001,mooncake,21.541,2.5,12.014,1.0541,0.5912,0.9554,0.8123,0.1481,2.0152,0.3795,0.9504,0.9252,0.4867,40.0,39.9,0.9975
mooncake002,mooncake,33.251,2.578,14.442,0.9078,0.7835,1.0,0.9852,0.1039,2.1818,0.6153,0.9952,0.9733,0.5929,30.0,43.8,1.46
mooncake003,mooncake,24.446,2.792,16.5,1.0441,0.3752,0.9244,0.8116,0.049,2.1493,0.6694,0.995,0.9642,0.5876,40.0,45.1,1.1275
mooncake004,mooncake,19.552,2.654,15.497,0.9693,0.3532,0.9215,0.7781,0.1677,2.2464,0.4653,0.9773,0.9569,0.5952,40.0,41.8,1.045
mooncake005,mooncake,25.195,2.687,14.723,0.9858,0.733,0.9761,0.8111,0.1817,2.0694,0.6873,0.9974,0.9713,0.5651,60.0,47.3,0.7883
mooncake006,mooncake,47.741,3.016,20.317,1.019,0.8605,0.9839,0.7767,0.0212,2.3421,0.7021,0.9914,0.9198,0.6005,150.0,126.0,0.84
orange001,orange,62.748,6.534,34.356,0.827,0.8048,0.9848,0.7648,0.1675,1.0391,0.7345,0.9834,0.7578,0.0353,160.0,220.5,1.3781
orange002,orange,72.612,7.026,44.813,1.1166,0.7755,0.9842,0.7645,0.0899,1.1498,0.8433,0.9926,0.7819,0.1255,280.0,197.9,0.7068
orange003,orange,56.103,6.375,37.68,1.1096,0.8689,0.9939,0.7832,0.1303,1.1895,0.856,0.9932,0.7738,0.167,210.0,202.5,0.9643
orange004,orange,65.799,7.742,49.489,0.883,0.3677,0.9157,0.7427,0.1599,1.0556,0.6668,0.9715,0.7654,0.0437,260.0,218.0,0.8385
orange005,orange,44.163,6.861,37.894,1.0825,0.7885,0.988,0.8414,0.16,1.0243,0.5552,0.9463,0.7712,0.0148,150.0,138.9,0.926
orange006,orange,51.222,6.453,34.369,1.0652,0.8111,0.9724,0.8058,0.1233,1.0419,0.6614,0.9577,0.7826,0.0985,200.0,179.3,0.8965
orange007,orange,59.932,6.196,35.531,0.9301,0.5141,0.9649,0.8327,0.0917,1.117,0.6925,0.9674,0.8128,0.1677,220.0,184.8,0.84
orange008,orange,76.538,6.653,43.144,1.0673,0.8567,0.9881,0.8212,0.034,1.1758,0.8983,0.9949,0.8206,0.1622,270.0,232.5,0.8611
orange009,orange,52.703,6.985,41.779,0.9894,0.5824,0.9556,0.7921,0.1238,1.0842,0.8906,0.9937,0.7825,0.0962,220.0,209.5,0.9523
orange010,orange,60.729,7.817,51.772,1.0264,0.8655,0.9948,0.842,0.1447,1.0508,0.8983,0.9941,0.799,0.0532,260.0,234.0,0.9
orange011,orange,71.008,7.734,48.23,1.0791,0.8392,0.9948,0.8349,0.1943,1.0253,0.8934,0.9936,0.7713,0.0405,250.0,222.0,0.888
orange012,orange,48.755,8.418,59.587,1.0164,0.5391,0.9155,0.7658,0.1364,1.0667,0.903,0.9933,0.78,0.065,200.0,177.3,0.8865
orange013,orange,46.868,6.354,32.747,0.9231,0.5698,0.9559,0.7961,0.1566,1.0328,0.8944,0.9907,0.7739,0.0377,190.0,162.3,0.8542
orange014,orange,50.555,6.429,40.028,1.0325,0.7568,0.9546,0.7404,0.0707,1.1667,0.8989,0.9936,0.8193,0.1404,160.0,167.5,1.0469
orange015,orange,44.933,5.758,28.022,1.0909,0.488,0.9104,0.7957,0.1762,1.0263,0.7002,0.9592,0.8095,0.0283,130.0,179.7,1.3823
peach001,peach,33.963,5.615,25.865,1.0473,0.5063,0.9379,0.8382,0.0741,1.0274,0.6042,0.9609,0.7773,0.0485,100.0,103.8,1.038
peach002,peach,44.63,5.395,22.148,0.9828,0.782,0.9894,0.8826,0.0462,0.9634,0.89,0.9929,0.781,0.0715,110.0,105.8,0.9618
peach003,peach,37.247,5.304,24.599,1.0298,0.504,0.9383,0.8238,0.129,1.121,0.792,0.9773,0.7595,0.0939,110.0,108.1,0.9827
peach004,peach,35.734,5.079,22.197,0.9333,0.743,0.9909,0.8934,0.0657,1.0859,0.9011,0.9922,0.7816,0.0809,90.0,96.2,1.0689
peach005,peach,52.328,6.111,33.749,1.134,0.7613,0.9848,0.8504,0.2035,1.0909,0.8982,0.9943,0.8191,0.0757,150.0,158.5,1.0567
pear001,pear,58.652,7.582,49.049,0.95,0.5774,0.9449,0.7799,0.0915,1.0486,0.8906,0.9937,0.8059,0.0697,260.0,249.0,0.9577
pear002,pear,53.848,6.715,38.696,0.9894,0.5101,0.9666,0.9069,0.0907,1.1385,0.7162,0.9805,0.7448,0.1117,210.0,205.5,0.9786
pear003,pear,68.355,6.952,42.248,0.9955,0.7351,0.9827,0.8383,0.1581,1.0739,0.8421,0.9897,0.8063,0.0672,290.0,280.0,0.9655
pear004,pear,58.241,7.154,43.17,0.9415,0.6753,0.9664,0.8135,0.0932,1.0486,0.7134,0.9728,0.8025,0.0809,260.0,247.0,0.95
pear005,pear,62.985,7.4,44.2,1.0082,0.4437,0.9087,0.8051,0.0126,1.1268,0.7155,0.9823,0.7612,0.1011,200.0,197.5,0.9875
pear006,pear,60.677,6.531,32.026,1.1709,0.5392,0.9673,0.77,0.1984,0.9766,0.8163,0.9787,0.7573,0.0576,230.0,200.5,0.8717
plum001,plum,46.118,5.519,28.542,1.057,0.3994,0.9271,0.7582,0.1585,1.1588,0.4057,0.927,0.7921,0.1997,150.0,151.8,1.012
plum002,plum,23.986,4.722,20.965,0.9774,0.424,0.9395,0.8389,0.0205,1.1618,0.8569,0.9913,0.799,0.1328,100.0,90.7,0.907
plum003,plum,29.964,3.75,12.714,0.9942,0.7512,0.9752,0.8129,0.0715,1.0833,0.8751,0.9916,0.8234,0.088,100.0,103.3,1.033
plum004,plum,43.027,5.0,25.311,0.9427,0.7847,1.0,0.9893,0.0646,1.2348,0.8844,0.9938,0.8097,0.1829,100.0,106.9,1.069
qiwi001,qiwi,50.341,5.616,42.395,0.7574,0.8181,0.9891,0.7956,0.2987,1.4939,0.7633,0.9842,0.8906,0.3488,180.0,154.4,0.8578
qiwi002,qiwi,54.386,5.857,37.774,1.0538,0.8671,0.9918,0.8069,0.0441,1.2195,0.7574,0.9794,0.8964,0.1773,150.0,154.9,1.0327
qiwi003,qiwi,39.962,6.385,32.475,1.0774,0.8386,0.9801,0.783,0.0435,0.9206,0.5005,0.9424,0.8537,0.1383,170.0,144.6,0.8506
qiwi004,qiwi,51.4,5.797,34.368,1.2022,0.8291,0.9915,0.8205,0.2732,1.2312,0.5892,0.9692,0.8131,0.2058,180.0,185.8,1.0322
qiwi005,qiwi,45.242,5.548,41.849,1.2837,0.7143,0.9726,0.8163,0.2146,1.5988,0.5753,0.9611,0.8427,0.3974,190.0,196.0,1.0316
qiwi006,qiwi,33.79,5.067,30.904,0.8673,0.8328,0.9819,0.7858,0.1296,1.3553,0.7692,0.979,0.8781,0.2568,120.0,127.5,1.0625
qiwi007,qiwi,49.642,3.088,6.131,0.7476,0.8487,0.9917,0.8004,0.2767,0.6429,0.7472,1.0,0.9698,0.397,160.0,152.2,0.9512
qiwi008,qiwi,20.083,3.79,12.746,1.2471,0.7462,0.9764,0.8774,0.2297,1.0745,0.3568,0.8818,0.8001,0.0846,50.0,52.1,1.042
sachima001,sachima,69.714,3.065,22.074,0.95,0.6261,0.99,0.9798,0.0544,2.5049,0.5365,0.9758,0.9307,0.633,170.0,37.6,0.2212
sachima002,sachima,57.664,3.75,25.342,1.2421,0.5219,0.9848,0.9669,0.2187,2.036,0.5159,0.9561,0.8702,0.5277,150.0,32.9,0.2193
sachima003,sachima,2.767,3.188,20.124,1.0,0.7625,0.9622,0.8518,0.1223,2.1176,0.6474,0.9822,0.9295,0.5584,140.0,29.0,0.2071
sachima004,sachima,3.742,3.75,24.077,1.8205,0.7729,0.9844,0.7743,0.4618,1.8889,0.6139,0.9551,0.8819,0.5021,150.0,33.4,0.2227
sachima005,sachima,60.062,2.957,18.197,0.863,0.6206,0.9822,0.9725,0.1581,2.2577,0.5685,0.9767,0.9026,0.5886,150.0,32.7,0.218
tomato001,tomato,71.226,5.0,29.875,1.0129,0.726,0.9854,0.8888,0.0177,1.4429,0.8547,0.9905,0.8191,0.3091,210.0,214.5,1.0214
tomato002,tomato,42.678,4.623,20.304,1.0294,0.8413,0.9905,0.8093,0.158,1.1778,0.8918,0.9906,0.7966,0.1414,190.0,154.2,0.8116
tomato003,tomato,58.812,4.766,26.831,1.0132,0.7601,0.9782,0.7946,0.0277,1.377,0.869,0.9926,0.8469,0.272,180.0,186.4,1.0356
tomato004,tomato,45.084,4.931,28.363,0.9534,0.8439,0.991,0.8169,0.174,1.3803,0.8525,0.9917,0.8287,0.2659,160.0,173.4,1.0837
